author_id,doc_id,grela_id,author,title,raw_date,not_before,not_after,lagt_genre,edition,edition_link,lagt_provenience,textsource,grela_source
tlg0304,tlg0304.tlg001,lagt_tlg0304.tlg001,,Acta et martyrium Apollonii,A.D. 2/4,101,400.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb. Aufl.. Tübingen: Mohr Siebeck, 1929: 30-35.",https://archive.org/details/ausgewahltemarty0000drud/page/30/mode/2up,christian,exprecce,lagt
tlg0384,tlg0384.tlg002,lagt_tlg0384.tlg002,,Acta Justini et septem sodalium (recensio B),A.D. 2/3,101,300.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb. Aufl.. Tübingen: Mohr Siebeck, 1929: 15-17.",https://archive.org/details/ausgewahltemarty0000drud/page/15/mode/2up,christian,exprecce,lagt
tlg0388,tlg0388.tlg002,lagt_tlg0388.tlg002,,Martyrium Pauli,A.D. 2,101,200.0,"Apocryph., Hagiogr.","R.A. Lipsius & Bonnet, M., Acta apostolorum apocrypha, vol. 1. Leipzig: Mendelssohn, 1891: 104-117.",https://archive.org/details/ntapoc-acta-apostolorum-apocrypha-by-lipsius-and-bonnett-3-volumes-in-1/page/n210/mode/1up,christian,exprecce,lagt
tlg0388,tlg0388.tlg004,lagt_tlg0388.tlg004,,Acta Pauli et Theclae,A.D. 2,101,200.0,"Apocryph., Hagiogr.","R.A. Lipsius & Bonnet, M., Acta apostolorum apocrypha, vol. 1. Leipzig: Mendelssohn, 1891: 235-271.",https://archive.org/details/ntapoc-acta-apostolorum-apocrypha-by-lipsius-and-bonnett-3-volumes-in-1/page/n341/mode/1up,christian,exprecce,lagt
tlg0389,tlg0389.tlg001,lagt_tlg0389.tlg001,,Martyrium Petri,A.D. 2,101,200.0,"Apocryph., Hagiogr.","R.A. Lipsius & Bonnet, M., Acta apostolorum apocrypha, vol. 1. Leipzig: Mendelssohn, 1891: 78-102.",https://archive.org/details/ntapoc-acta-apostolorum-apocrypha-by-lipsius-and-bonnett-3-volumes-in-1/page/n184/mode/1up,christian,exprecce,lagt
tlg0390,tlg0390.tlg001,lagt_tlg0390.tlg001,,"Martyrium sanctorum Carpi, Papyli et Agathonicae",A.D. 2,101,200.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb. Aufl.. Tübingen: Mohr Siebeck, 1929: 11-13.",https://archive.org/details/ausgewahltemarty0000drud/page/11/mode/1up,christian,exprecce,lagt
tlg0391,tlg0391.tlg001,lagt_tlg0391.tlg001,,Acta Scillitanorum martyrum sive passio Sperati et sociorum,A.D. 2-3,101,300.0,Hagiogr.,"J. Armitage Robinson, The Passion of S. Perpetua, Texts and Studies 1.2, appendix. Cambridge: Cambridge University Press, 1891: 113-117.",https://archive.org/details/MN5140ucmf_2/page/n125/mode/1up,christian,exprecce,lagt
tlg2005,tlg2005.tlg001,lagt_tlg2005.tlg001,,Martyrium Pionii presbyteri et sodalium,A.D. 4,301,400.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929, 45-57.",https://archive.org/details/ausgewahltemarty0000drud/page/45/mode/1up,christian,exprecce,lagt
tlg2007,tlg2007.tlg001,lagt_tlg2007.tlg001,,Martyrium Potamiaenae et Basilidis,post A.D. 3,301,,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 44-45.",https://archive.org/details/ausgewahltemarty0000drud/page/44/mode/1up,christian,exprecce,lagt
tlg2008,tlg2008.tlg001,lagt_tlg2008.tlg001,,Martyrium Cononis,post A.D. 4,401,,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 64-66.",https://archive.org/details/ausgewahltemarty0000drud/page/64/mode/1up,christian,exprecce,lagt
tlg2010,tlg2010.tlg001,lagt_tlg2010.tlg001,,Martyrium Dasii,post A.D. 4,401,,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 91-95.",https://archive.org/details/ausgewahltemarty0000drud/page/91/mode/1up,christian,exprecce,lagt
tlg2011,tlg2011.tlg001,lagt_tlg2011.tlg001,,"Martyrium Agapae, Irenae, Chionae et sodalium",A.D. 4,301,400.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 95-100.",https://archive.org/details/ausgewahltemarty0000drud/page/95/mode/1up,christian,exprecce,lagt
tlg2012,tlg2012.tlg001,lagt_tlg2012.tlg001,,Acta Eupli,post A.D. 4,401,,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 100-101.",https://archive.org/details/ausgewahltemarty0000drud/page/100/mode/1up,christian,exprecce,lagt
tlg2015,tlg2015.tlg001,lagt_tlg2015.tlg001,,Testamentum xl martyrum,post A.D. 4,401,,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 116-119.",https://archive.org/details/ausgewahltemarty0000drud/page/116/mode/1up,christian,exprecce,lagt
tlg2017,tlg2017.tlg065,lagt_tlg2017.tlg065,Gregorius Nyssenus,De sancto Theodoro,A.D. 4,301,400.0,"Encom., Hagiogr.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 46. Paris: Migne, 1863: 736-748.",https://archive.org/details/patrologia-volumes/046/page/n374/mode/1up,christian,exprecce,lagt
tlg2040,tlg2040.tlg034,lagt_tlg2040.tlg034,Basilius Caesariensis,In Gordium martyrem,A.D. 4,301,400.0,"Encom., Hagiogr., Homilet.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 31. Paris: Migne, 1857: 489-508.",https://archive.org/details/patrologia-volumes/031/page/n252/mode/1up,christian,exprecce,lagt
tlg2040,tlg2040.tlg035,lagt_tlg2040.tlg035,Basilius Caesariensis,In quadraginta martyres Sebastenses,A.D. 4,301,400.0,"Encom., Hagiogr., Homilet.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 31. Paris: Migne, 1857: 508-525.",https://archive.org/details/patrologia-volumes/031/page/n261/mode/1up,christian,exprecce,lagt
tlg2062,tlg2062.tlg041,lagt_tlg2062.tlg041,Joannes Chrysostomus,De sancto hieromartyre Babyla,A.D. 4-5,301,500.0,"Encom., Hagiogr., Homilet.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 50. Paris: Migne, 1862: 527-534",https://archive.org/details/patrologia-volumes/050/page/528/mode/1up,christian,exprecce,lagt
tlg2062,tlg2062.tlg043,lagt_tlg2062.tlg043,Joannes Chrysostomus,De sancta Pelagia virgine et martyre,A.D. 4-5,301,500.0,"Encom., Hagiogr., Homilet.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 50. Paris: Migne, 1862: 579-584",https://archive.org/details/patrologia-volumes/050/page/580/mode/1up,christian,exprecce,lagt
tlg2062,tlg2062.tlg050,lagt_tlg2062.tlg050,Joannes Chrysostomus,De sanctis martyribus,A.D. 4-5,301,500.0,"Encom., Hagiogr., Homilet.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 50. Paris: Migne, 1862: 645-654",https://archive.org/details/patrologia-volumes/050/page/645/mode/1up,christian,exprecce,lagt
tlg2062,tlg2062.tlg511,lagt_tlg2062.tlg511,Joannes Chrysostomus,In sanctum Julianum martyrem,A.D. 4-5,301,500.0,"Encom., Hagiogr.","J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 50. Paris: Migne, 1862: 665-676",https://archive.org/details/patrologia-volumes/050/page/666/mode/1up,christian,exprecce,lagt
tlg2798,tlg2798.tlg005,lagt_tlg2798.tlg005,Pseudo-Dionysius Areopagita,De mystica theologia,A.D. 5-6,401,600.0,Theol.,"J.-P. Migne, Patrologiæ cursus completus: Patrologiæ Graeca 3. Paris: Migne, 1857: 997-1048.",https://archive.org/details/patrologia-volumes/003/page/n498/mode/1up,christian,exprecce,lagt
tlg3150,tlg3150.tlg002,lagt_tlg3150.tlg002,,Martyrium prius Andreae,A.D. 2,101,200.0,"Acta, Hagiogr.","Tischendorf, C., Acta apostolorvm apocrypha, ed. R.A. Lipsius & Bonnet, M., Partis alterivs, vol. 1. Leipzig: Mendelssohn, 1898: 46-57",https://archive.org/details/actaapostolorvm02tiscgoog/page/46/mode/1up,christian,exprecce,lagt
tlg5451,tlg5451.tlg001,lagt_tlg5451.tlg001,,Passio sancti Sabae Gothi (sub auctore Athanarico),A.D. 4,301,400.0,Hagiogr.,"Rudolf Knopf, Ausgewählte Märtyrerakten, 3. neubearb Aufl. Tübingen: Mohr Siebeck, 1929: 119-124.",https://archive.org/details/ausgewahltemarty0000drud/page/119/mode/1up,christian,exprecce,lagt
